Year ,Consumer price index (2010 = 100)
1960,21.3 
1961,21.3 
1962,21.3 
1963,22.0 
1964,21.9 
1965,21.8 
1966,22.1 
1967,23.1 
1968,23.0 
1969,22.9 
1970,23.4 
1971,23.7 
1972,24.5 
1973,27.1 
1974,31.8 
1975,33.2 
1976,34.1 
1977,35.7 
1978,37.4 
1979,38.8 
1980,41.4 
1981,45.4 
1982,48.1 
1983,49.9 
1984,51.8 
1985,52.0 
1986,52.4 
1987,52.5 
1988,53.8 
1989,55.4 
1990,56.8 
1991,59.3 
1992,62.1 
1993,64.3 
1994,66.7 
1995,69.0 
1996,71.4 
1997,73.3 
1998,77.2 
1999,79.3 
2000,80.5 
2001,81.7 
2002,83.1 
2003,84.0 
2004,85.2 
2005,87.8 
2006,90.9 
2007,92.8 
2008,97.8 
2009,98.4 
2010,100.0 
2011,103.2 
2012,104.9 
2013,107.1 
2014,110.5 
2015,112.8 
2016,115.1 
2017,119.6 
2018,120.7 
2019,121.5 
2020,120.1 
2021,123.1 
2022,127.2 
