"date","adjusted"
2025-04-01,5674.5
2025-04-02,5712.25
2025-04-03,5432.75
2025-04-04,5110.25
2025-04-07,5097.25
2025-04-08,5020.25
2025-04-09,5491
2025-04-10,5302
2025-04-11,5391.25
2025-04-14,5440.75
2025-04-15,5428.25
2025-04-16,5305.75
2025-04-17,5312.75
2025-04-21,5184.75
2025-04-22,5314.75
2025-04-23,5401.75
2025-04-24,5511.25
2025-04-25,5549.75
2025-04-28,5553
2025-04-29,5583.75
2025-04-30,5587
2025-05-01,5623.25
2025-05-02,5709
2025-05-05,5671.75
2025-05-06,5625.75
2025-05-07,5652
2025-05-08,5684.5
2025-05-09,5678
2025-05-12,5865
2025-05-13,5904.5
2025-05-14,5908.5
2025-05-15,5933.25
2025-05-16,5975.5
2025-05-19,5982.5
2025-05-20,5959.75
2025-05-21,5861.25
2025-05-22,5856.75
2025-05-23,5817
2025-05-26,NA
2025-05-27,5934.25
2025-05-28,5902.75
2025-05-29,5922.75
2025-05-30,5916
2025-06-02,5947.25
2025-06-03,5981.5
2025-06-04,5981
2025-06-05,5946
2025-06-06,6006.75
2025-06-09,6010.25
2025-06-10,6045
2025-06-11,6029
2025-06-12,6049.5
2025-06-13,5979.25
2025-06-16,6035.75
2025-06-17,5985
2025-06-18,5981.5
2025-06-19,NA
2025-06-20,6010.2099609375
2025-06-23,6077
2025-06-24,6146.25
2025-06-25,6147
2025-06-26,6195
2025-06-27,6223.75
2025-06-30,6253.75
2025-07-01,6248.75
2025-07-02,6275
2025-07-03,6324.25
2025-07-04,6283.5
2025-07-07,6276
2025-07-08,6272
2025-07-09,6307.25
2025-07-10,6324.25
2025-07-11,6300
2025-07-14,6311
2025-07-15,6284
2025-07-16,6303.25
2025-07-17,6340.5
2025-07-18,6334.75
2025-07-21,6344.75
2025-07-22,6346.75
2025-07-23,6396.25
2025-07-24,6401.5
2025-07-25,6425
2025-07-28,6422.75
2025-07-29,6406
2025-07-30,6396.25
2025-07-31,6374.25
2025-08-01,6264.5
2025-08-04,6356
2025-08-05,6325.25
2025-08-06,6371
2025-08-07,6366.5
2025-08-08,6413.5
2025-08-11,6399.75
2025-08-12,6468.5
2025-08-13,6488.75
2025-08-14,6490.5
2025-08-15,6471.5
2025-08-18,6469.25
2025-08-19,6432.5
2025-08-20,6413.25
2025-08-21,6388.25
2025-08-22,6483.25
2025-08-25,6455.5
2025-08-26,6482.5
2025-08-27,6496
2025-08-28,6517.5
2025-08-29,6472.75
2025-09-02,6425.5
2025-09-03,6457.25
2025-09-04,6510.75
2025-09-05,6489.75
2025-09-08,6506
2025-09-09,6521.75
2025-09-10,6539.75
2025-09-11,6592.5
2025-09-12,6588.25
2025-09-15,6621.5
2025-09-16,6610.75
2025-09-17,6601.25
2025-09-18,6635
2025-09-19,6658.77001953125
2025-09-22,6752.5
2025-09-23,6715
2025-09-24,6692.25
2025-09-25,6659.75
2025-09-26,6696.5
2025-09-29,6713.5
2025-09-30,6738.75
2025-10-01,6761.5
2025-10-02,6766.75
2025-10-03,6764
2025-10-06,6788.75
2025-10-07,6761.5
2025-10-08,6801.25
2025-10-09,6779.25
2025-10-10,6595.25
2025-10-13,6694.75
2025-10-14,6686.5
2025-10-15,6715
2025-10-16,6668.75
2025-10-17,6702.5
2025-10-20,6773.75
2025-10-21,6773.25
2025-10-22,6737
2025-10-23,6775
2025-10-24,6827
2025-10-27,6908.25
2025-10-28,6925.75
2025-10-29,6922.75
2025-10-30,6855.5
2025-10-31,6874
2025-11-03,6882.75
2025-11-04,6801.75
2025-11-05,6825.25
2025-11-06,6747.5
2025-11-07,6753.75
2025-11-10,6856.75
2025-11-11,6871.5
2025-11-12,6875.75
2025-11-13,6760
2025-11-14,6755.25
2025-11-17,6692
2025-11-18,6639.75
2025-11-19,6661.5
2025-11-20,6557.5
2025-11-21,6620.25
2025-11-24,6721.25
2025-11-25,6781.5
2025-11-26,6828
2025-11-28,6859.5
2025-12-01,6826.75
2025-12-02,6840.25
2025-12-03,6862
2025-12-04,6866.75
2025-12-05,6878.25
2025-12-08,6855.75
2025-12-09,6848.25
2025-12-10,6891.75
2025-12-11,6907.25
2025-12-12,6830.75
2025-12-15,6823
2025-12-16,6801
2025-12-17,6726.5
2025-12-18,6778.25
2025-12-19,6796.5400390625
2025-12-22,6930.25
2025-12-23,6961
2025-12-24,6982.5
2025-12-26,6979.25
2025-12-29,6955
2025-12-30,6944.25
